avg_funding/round;days since last funding;milestones/company_age;avg_funding/milestone;avg_growth;growth_funding_3_4;growth_funding_2_3;growth_of_funding_1_2;avg_funding/partner;avg_funding/contributor;avg_funding/year;company_age;acquired_or_closed;company_id;state;regionen;BusinessField_gruppiert;BusinessField - 1;NumContributors;NumPartners;total _funding;max_round_nr;total_milestone_nr;round_nr_5;round_nr_4;round_nr_3;round_nr_2;round_nr_1
3000000;1282;0.25;1500000;-1;0;0;-1;500000;1500000;375000;8;Wahr;80433;CA;westen;software und technologie;software;2;6;3000000;1;2;0;0;0;0;3000000
3000000;1532;0.285714286;1500000;-1;0;0;-1;500000;3000000;428571.428571429;7;Wahr;51306;CA;westen;finanzen;games_video;1;6;3000000;1;2;0;0;0;0;3000000
2500000;1790;0.25;3333333.33333333;0.519051591;4.968382950;-0.945093299;-0.947083287;1250000;8000000;833333.333333333;12;Wahr;1716;CA;westen;software und technologie;web;1.25;8;10000000;4;3;0;161588;27074;493091;9318247
5000000;1842;0.125;5000000;-1;0;0;-1;1000000;5000000;625000;8;Falsch;34028;CA;westen;software und technologie;web;1;5;5000000;1;1;0;0;0;0;5000000
4410000;2435;0.1;4410000;-1;0;0;-1;1102500;4410000;441000;10;Wahr;15562;CA;westen;software und technologie;mobile;1;4;4410000;1;1;0;0;0;0;4410000
3525000;1126;0.571428571;3525000;-0.325953043;1.478108145;-0.797818089;-0.984102228;742105.263157895;6266666.66666667;2014285.71428571;7;Wahr;12348;CA;westen;enterprise und other;enterprise;2.25;19;14100000;4;4;0;109349;44126;218249;13728276
20500000;1672;0.25;20500000;-0.491969339;0;-1;0.016061321;2733333.33333333;27333333.3333333;5125000;8;Wahr;23052;CA;westen;lifestyle;fashion;1.5;15;41000000;2;2;0;0;0;20663317;20336683
1000000;3074;0.272727273;333333.333333333;-1;0;0;-1;200000;500000;90909.090909091;11;Wahr;35712;CA;westen;software und technologie;hardware;2;5;1000000;1;3;0;0;0;0;1000000
6350000;593;0.125;12700000;15.613273702;0;-1;32.226547404;846666.666666667;8466666.66666667;1587500;8;Wahr;195233;CA;westen;bildung und forschung;analytics;1.5;15;12700000;2;1;0;0;0;12328943;371057
5000000;2784;0.25;2500000;-1;0;0;-1;714285.714285714;5000000;625000;8;Wahr;3080;CA;westen;software und technologie;web;1;7;5000000;1;2;0;0;0;0;5000000
1200000;1938;0.125;1200000;-1;0;0;-1;600000;1200000;150000;8;Falsch;22113;CA;westen;software und technologie;web;1;2;1200000;1;1;0;0;0;0;1200000
26100000;1819;0;0;-1;0;0;-1;26100000;13050000;2007692.30769231;13;Wahr;39364;NJ;nordosten;bildung und forschung;biotech;2;1;26100000;1;0;0;0;0;0;26100000
16000000;904;0.25;26666666.6666667;1.217623976;9.576203720;-0.978691626;-0.976272154;5000000;35555555.5555556;6666666.66666667;12;Wahr;1731;CA;westen;software und technologie;network_hosting;2.25;16;80000000;5;3;193518;414492;39191;1839230;77513569
1500000;1953;0.272727273;500000;-1;0;0;-1;115384.615384615;1500000;136363.636363636;11;Wahr;20146;NY;nordosten;finanzen;music;1;13;1500000;1;3;0;0;0;0;1500000
1800000;2709;0.3;1200000;11.127414116;0;-1;23.254828232;360000;3600000;360000;10;Falsch;1284;CA;westen;software und technologie;web;1;10;3600000;2;3;0;0;0;3457453;142547
27500000;1112;0.1;55000000;-0.628594153;0;-1;-0.257188306;11000000;13750000;5500000;10;Falsch;48376;IL;mittlerer_westen;bildung und forschung;biotech;4;5;55000000;2;1;0;0;0;23441800;31558200
3233333.33333333;1737;0.333333333;2425000;-0.298491915;-1;-0.203259939;0.307784193;1940000;9700000;808333.333333333;12;Falsch;2497;TX;süden;finanzen;games_video;1;5;9700000;3;4;0;0;3017257;3787003;2895740
2100000;2507;0.181818182;2100000;-0.653818134;0;-1;-0.307636268;262500;2800000;381818.181818182;11;Wahr;17430;CA;westen;enterprise und other;enterprise;1.5;16;4200000;2;2;0;0;0;1718264;2481736
1500000;1176;0.5;500000;-1;0;0;-1;300000;1500000;250000;6;Wahr;72750;NY;nordosten;lifestyle;fashion;1;5;1500000;1;3;0;0;0;0;1500000
7500000;2639;0.0625;15000000;-0.407935783;0;-1;0.184128434;7500000;6000000;937500;16;Falsch;42672;MA;nordosten;software und technologie;software;2.5;2;15000000;2;1;0;0;0;8132272;6867728
20000000;2177;0.083333333;20000000;-1;0;0;-1;2000000;20000000;1666666.66666667;12;Wahr;21528;NY;nordosten;finanzen;advertising;1;10;20000000;1;1;0;0;0;0;20000000
8833333.33333333;1932;0.4;6625000;0.419828587;-1;-0.666439093;2.925924854;1472222.22222222;13250000;2650000;10;Wahr;513;MA;nordosten;software und technologie;mobile;2;18;26500000;3;4;0;0;5565376;16684737;4249887
12664447.5714286;1829;0.416666667;17730226.6;0.284280669;-0.755228737;-0.782236673;-0.933167591;7387594.41666667;27994799.9494742;7387594.41666667;12;Wahr;44;NY;nordosten;software und technologie;mobile;3.1667;12;88651133;7;5;743991;286915;1172176;5382798;80541732
10594.5;931;0.125;21189;-0.416496216;0;-1;0.167007568;10594.5;21189;2648.625;8;Falsch;103204;CA;westen;software und technologie;mobile;1;2;21189;2;1;0;0;0;11411;9778
20254373.25;1752;0.066666667;81017493;0.768200745;-0.402854052;4.068011218;0.407645814;40508746.5;14297120.5463497;5401166.2;15;Wahr;22712;CA;westen;software und technologie;semiconductor;5.6667;2;81017493;4;1;0;25006903;41877372;8263078;5870140
2216509.1;1700;0;0;0.090313022;-0.997956431;-0.145626075;-0.699093632;5541272.75;11082545.5;1583220.78571429;14;Wahr;36936;NY;nordosten;software und technologie;network_hosting;2;4;22165091;10;0;34479;7425;3633349;4252645;14132785
8000000;2656;0.058823529;8000000;-1;0;0;-1;4000000;8000000;470588.235294118;17;Falsch;43458;CA;westen;software und technologie;software;1;2;8000000;1;1;0;0;0;0;8000000
36500000;1262;0.083333333;73000000;-0.452119197;0;-1;0.095761606;8111111.11111111;24333333.3333333;6083333.33333333;12;Wahr;46168;CA;westen;bildung und forschung;biotech;3;9;73000000;2;1;0;0;0;38167794;34832206
6025000;2740;0;0;-0.921738912;0;-1;-0.843477824;0;12050000;860714.285714286;14;Falsch;43948;CA;westen;software und technologie;software;1;0;12050000;2;0;0;0;0;1630831;10419169
1500000;1794;0.125;1500000;-1;0;0;-1;750000;250000;187500;8;Falsch;70661;NY;nordosten;lifestyle;fashion;6;2;1500000;1;1;0;0;0;0;1500000
6500000;2718;0.0625;19500000;-0.795776080;-1;-0.693308552;-0.694019688;1950000;5850058.50058501;1218750;16;Wahr;3962;CA;westen;software und technologie;software;3.3333;10;19500000;3;1;0;0;1307245;4262411;13930344
9500000;1777;0.222222222;9500000;-0.903395583;0;-1;-0.806791167;1583333.33333333;5428571.42857143;2111111.11111111;9;Wahr;30834;CA;westen;finanzen;games_video;3.5;12;19000000;2;2;0;0;0;3076551;15923449
13083333.3333333;1716;0.272727273;26166666.6666667;-0.546154064;-0.916496557;0.031926314;-0.358306731;2907407.40740741;23088235.2941176;7136363.63636364;11;Wahr;49052;NJ;nordosten;finanzen;ecommerce;3.4;27;78500000;6;3;426013;1822592;21826549;21151267;32961647
12100000;1267;0.181818182;18150000;-0.349625697;-1;0.788130146;-0.837007236;12100000;24200000;3300000;11;Falsch;5952;CA;westen;manufacturing;automotive;1.5;3;36300000;3;2;0;0;7274058;4067969;24957973
5000000;3255;0.076923077;5000000;-1;0;0;-1;625000;5000000;384615.384615385;13;Falsch;3202;CA;westen;software und technologie;search;1;8;5000000;1;1;0;0;0;0;5000000
18000000;2871;0;0;-1;0;0;-1;0;2571428.57142857;947368.421052632;19;Falsch;42062;AZ;westen;software und technologie;semiconductor;7;0;18000000;1;0;0;0;0;0;18000000
15000000;1631;0.071428571;15000000;-1;0;0;-1;2500000;2500000;1071428.57142857;14;Wahr;51890;CA;westen;gesundheit und sicherheit;medical;6;6;15000000;1;1;0;0;0;0;15000000
15075000;2678;0.3;10050000;28.571753298;0;-1;58.143506596;15075000;30150000;3015000;10;Falsch;1389;CA;westen;finanzen;advertising;1;2;30150000;2;3;0;0;0;29648699;501301
1333333.33333333;646;0.285714286;2000000;-0.127261337;-1;0.383029449;0.235186542;571428.571428571;2000000;571428.571428571;7;Wahr;101312;NY;nordosten;software und technologie;web;2;7;4000000;3;2;0;0;1732781;1252888;1014331
3200000;2296;0.333333333;1066666.66666667;-1;0;0;-1;640000;3200000;355555.555555556;9;Wahr;11438;CA;westen;software und technologie;web;1;5;3200000;1;3;0;0;0;0;3200000
7750000;1156;0.2;7750000;-0.617218365;0;-1;-0.234436731;1291666.66666667;15500000;1550000;10;Wahr;33198;CA;westen;software und technologie;software;1;12;15500000;2;2;0;0;0;6720932;8779068
750000;1589;0.3;250000;-1;0;0;-1;125000;83333.333333333;75000;10;Wahr;38339;CA;westen;bildung und forschung;analytics;9;6;750000;1;3;0;0;0;0;750000
9333333.33333333;1918;0.166666667;14000000;0.005007520;-1;0.117246888;0.897775673;2000000;10499868.7516406;2333333.33333333;12;Wahr;1350;MA;nordosten;software und technologie;network_hosting;2.6667;14;28000000;3;2;0;0;11830858;10589296;5579846
1000000;1359;0.181818182;1000000;-0.128711222;0;-1;0.742577557;285714.285714286;235294.117647059;181818.181818182;11;Wahr;21762;CA;westen;software und technologie;software;8.5;7;2000000;2;2;0;0;0;1270759;729241
11700000;2162;0.545454545;7800000;1.136865094;2.257251602;-0.981506731;4.271715504;1114285.71428571;18720000;4254545.45454545;11;Wahr;726;CA;westen;finanzen;advertising;2.5;42;46800000;4;6;0;2222527;682332;36896236;6998905
7262500;1108;0.181818182;14525000;-0.885550491;-0.918770257;-0.733607720;-0.889823989;2905000;10893613.8298271;2640909.09090909;11;Wahr;14593;MA;nordosten;software und technologie;software;2.6667;10;29050000;4;2;0;60651;746660;2802859;25439830
9000000;3158;0;0;-1;0;0;-1;281250;2250000;750000;12;Falsch;48640;TX;süden;software und technologie;semiconductor;4;32;9000000;1;0;0;0;0;0;9000000
5000000;1532;0.285714286;2500000;-1;0;0;-1;1000000;5000000;714285.714285714;7;Falsch;59709;CA;westen;software und technologie;web;1;5;5000000;1;2;0;0;0;0;5000000
59000;3196;0.272727273;39333.333333333;-0.990232333;0;-1;-0.980464666;11800;78666.666666667;10727.272727273;11;Wahr;1674;FL;süden;software und technologie;web;1.5;10;118000;2;3;0;0;0;2261;115739
158333.333333333;785;0.2;475000;2.034928184;-1;8.101137044;-0.996352492;118750;118750;95000;5;Wahr;50162;CA;westen;transport und reisen;travel;4;4;475000;3;1;0;0;15208;1671;458121
5082641.66666667;1843;0.071428571;15247925;0.840790479;-1;0.197073129;3.325298308;1524792.5;10165283.3333333;1089137.5;14;Wahr;36310;MA;nordosten;software und technologie;semiconductor;1.5;10;15247925;3;1;0;0;7516822;6279334;1451769
2300000;2240;0.166666667;1150000;-1;0;0;-1;1150000;2300000;191666.666666667;12;Falsch;13504;CA;westen;manufacturing;cleantech;1;2;2300000;1;2;0;0;0;0;2300000
1362500;946;0.176470588;1362500;-0.910211435;-1;-0.794298128;-0.936336178;1021875;4087500;240441.176470588;17;Falsch;3562;CA;westen;enterprise und other;enterprise;1;4;4087500;3;3;0;0;49713;241675;3796112
6000000;3044;0.307692308;1500000;-1;0;0;-1;240000;2000000;461538.461538462;13;Wahr;5306;CA;westen;finanzen;advertising;3;25;6000000;1;4;0;0;0;0;6000000
2000000;1842;0;0;0.312576015;0;-1;1.625152030;2000000;2000000;400000;10;Falsch;37780;CT;nordosten;social_media;messaging;2;2;4000000;2;0;0;0;0;2896598;1103402
130000;1766;0.222222222;65000;-1;0;0;-1;43333.333333333;130000;14444.444444444;9;Wahr;43263;NY;nordosten;software und technologie;web;1;3;130000;1;2;0;0;0;0;130000
11500000;3620;0.142857143;5750000;-1;0;0;-1;766666.666666667;5750000;821428.571428571;14;Wahr;487;CA;westen;finanzen;advertising;2;15;11500000;1;2;0;0;0;0;11500000
1700000;2246;0.1;1700000;-1;0;0;-1;1700000;1700000;170000;10;Falsch;13277;CA;westen;software und technologie;web;1;1;1700000;1;1;0;0;0;0;1700000
25000;2014;0;0;-1;0;0;-1;8333.333333333;25000;3125;8;Falsch;25808;CA;westen;software und technologie;web;1;3;25000;1;0;0;0;0;0;25000
1802552.5;1050;0.083333333;7210210;0.328158667;0.388204954;-0.560408982;2.484838697;1802552.5;7210210;600850.833333333;12;Wahr;24860;CA;westen;enterprise und other;enterprise;1;4;7210210;4;1;0;1882914;1356366;3085518;885412
26425375;1004;0.153846154;105701500;0.335969260;2.404646586;-0.629502483;-0.803608185;35233833.3333333;77884905.8689165;16261769.2307692;13;Falsch;12099;CA;westen;manufacturing;cleantech;2.7143;6;211403000;8;2;23557582;30312481;8903268;24030574;122360364
9950000;2158;0.142857143;9950000;-0.514579665;0;-1;-0.029159330;6633333.33333333;9950000;1421428.57142857;14;Wahr;25782;DC;süden;software und technologie;software;2;3;19900000;2;2;0;0;0;9802786;10097214
2600000;3176;0;0;-1;0;0;-1;0;2600000;185714.285714286;14;Falsch;49341;MD;süden;social_media;public_relations;1;0;2600000;1;0;0;0;0;0;2600000
50000;3013;0.055555556;50000;-1;0;0;-1;50000;50000;2777.777777778;18;Falsch;35903;AR;süden;software und technologie;software;1;1;50000;1;1;0;0;0;0;50000
270000;2045;0.181818182;270000;0.140320288;0;-1;1.280640575;90000;216000;49090.909090909;11;Wahr;9822;NY;nordosten;software und technologie;web;2.5;6;540000;2;2;0;0;0;375398;164602
12700000;3418;0.133333333;6350000;-1;0;0;-1;1411111.11111111;3175000;846666.666666667;15;Wahr;53686;MA;nordosten;social_media;public_relations;4;9;12700000;1;2;0;0;0;0;12700000
300000;905;0.428571429;300000;-0.634871782;-1;-0.106700318;-0.797915028;180000;900000;128571.428571429;7;Falsch;76765;NY;nordosten;social_media;social;1;5;900000;3;3;0;0;117510;131546;650944
50000;2343;0.285714286;25000;-1;0;0;-1;7142.857142857;16666.666666667;7142.857142857;7;Falsch;11498;CA;westen;finanzen;advertising;3;7;50000;1;2;0;0;0;0;50000
6200000;3651;0.363636364;1550000;-1;0;0;-1;1240000;3100000;563636.363636364;11;Wahr;197;CA;westen;software und technologie;search;2;5;6200000;1;4;0;0;0;0;6200000
75000000;499;0.8;18750000;-1;0;0;-1;18750000;75000000;15000000;5;Wahr;84161;PA;nordosten;finanzen;ecommerce;1;4;75000000;1;4;0;0;0;0;75000000
838333.333333333;1843;0.3;838333.333333333;-0.810109162;-1;-0.919217684;-0.511109801;279444.444444444;1508969.82060359;251500;10;Wahr;5779;CA;westen;software und technologie;network_hosting;1.6667;9;2515000;3;3;0;0;64988;804483;1645529
4000000;1581;0.181818182;6000000;-0.744086682;-1;-0.726302520;-0.505957527;3000000;4499943.75070312;1090909.09090909;11;Wahr;43954;MA;nordosten;software und technologie;software;2.6667;4;12000000;3;2;0;0;995923;3638773;7365304
1300000;1116;0.222222222;650000;-1;0;0;-1;260000;1300000;144444.444444444;9;Wahr;74928;OR;westen;software und technologie;mobile;1;5;1300000;1;2;0;0;0;0;1300000
45000000;2997;0;0;-1;0;0;-1;2142857.14285714;45000000;3214285.71428571;14;Wahr;2731;NY;nordosten;finanzen;advertising;1;21;45000000;1;0;0;0;0;0;45000000
300000;2678;0.333333333;75000;-1;0;0;-1;60000;300000;25000;12;Falsch;6219;CA;westen;social_media;public_relations;1;5;300000;1;4;0;0;0;0;300000
6336557;1512;0.058823529;19009671;-0.612534876;-1;-0.661053721;-0.176550907;1900967.1;9504835.5;1118215.94117647;17;Falsch;35157;MA;nordosten;bildung und forschung;biotech;2;10;19009671;3;1;0;0;2523452;7444991;9041228
13000000;3365;0;0;-1;0;0;-1;13000000;3250000;812500;16;Wahr;58133;WA;westen;software und technologie;software;4;1;13000000;1;0;0;0;0;0;13000000
125000;2312;0;0;-1;0;0;-1;62500;125000;12500;10;Falsch;14483;FL;süden;enterprise und other;enterprise;1;2;125000;1;0;0;0;0;0;125000
28500000;2542;0.153846154;28500000;-0.847439493;0;-1;-0.694878987;8142857.14285714;16285714.2857143;4384615.38461538;13;Wahr;144;CA;westen;software und technologie;web;3.5;7;57000000;2;2;0;0;0;13325889;43674111
8050000;1086;0.095238095;12075000;-0.085198137;-1;0.487790051;0.256615539;8050000;10350147.8592551;1150000;21;Falsch;46070;MA;nordosten;software und technologie;software;2.3333;3;24150000;3;2;0;0;10942370;7354781;5852849
8900000;2851;0;0;-0.832424631;0;-1;-0.664849261;0;17800000;988888.888888889;18;Falsch;43162;CA;westen;software und technologie;software;1;0;17800000;2;0;0;0;0;4468172;13331828
9500000;974;0.076923077;19000000;5.786840733;0;-1;12.573681465;9500000;5428571.42857143;1461538.46153846;13;Falsch;42163;MA;nordosten;software und technologie;software;3.5;2;19000000;2;1;0;0;0;17696280;1303720
6000000;1665;0.222222222;3000000;-1;0;0;-1;1000000;3000000;666666.666666667;9;Wahr;44976;CA;westen;software und technologie;software;2;6;6000000;1;2;0;0;0;0;6000000
6500000;1435;0.375;2166666.66666667;-1;0;0;-1;1083333.33333333;2166666.66666667;812500;8;Wahr;421;CA;westen;finanzen;advertising;3;6;6500000;1;3;0;0;0;0;6500000
7600000;2326;0;0;4.967787863;0;-1;10.935575727;1169230.76923077;7600000;1085714.28571429;14;Wahr;3187;CA;westen;software und technologie;software;2;13;15200000;2;0;0;0;0;14024946;1175054
3557142.85714286;1769;0.333333333;8300000;2.992421535;0.464237467;0.849171395;-0.905857858;2075000;8300000;2766666.66666667;9;Wahr;2351;CA;westen;finanzen;music;3;12;24900000;7;3;4272;4139351;2826967;1528775;16239008
987500;853;0.4;987500;3.208883697;0;-1;7.417767393;329166.666666667;658333.333333333;395000;5;Wahr;107746;OR;westen;enterprise und other;enterprise;3;6;1975000;2;2;0;0;0;1765290;209710
1250000;778;0.428571429;1250000;8.654546435;-1;27.754531221;-0.790891916;1875000;1875000;535714.285714286;7;Wahr;43188;NY;nordosten;lifestyle;fashion;2;2;3750000;3;3;0;0;3122167;108580;519253
3133333.33333333;1736;0.25;3133333.33333333;-0.078059201;-1;1.637270309;-0.871447913;522222.222222222;6266666.66666667;783333.333333333;12;Wahr;6562;CA;westen;enterprise und other;enterprise;1.5;18;9400000;3;3;0;0;2171502;823390;6405108
5095471.66666667;701;0.125;15286415;0.030048539;-1;1.840537692;-0.750392074;7643207.5;15286415;1910801.875;8;Wahr;10158;TN;süden;finanzen;photo_video;1;2;15286415;3;1;0;0;5533660;1948103;7804652
7075000;2890;0.266666667;7075000;25.929220147;106.684754124;-0.979439051;-0.988434486;1048148.14814815;11320000;1886666.66666667;15;Wahr;27;CA;westen;software und technologie;web;2.5;27;28300000;4;4;0;698551;6487;315501;27279461
900000;3047;0;0;-1;0;0;-1;300000;900000;69230.769230769;13;Falsch;46893;CA;westen;software und technologie;software;1;3;900000;1;0;0;0;0;0;900000
6333333.33333333;1479;0.117647059;9500000;0.694891442;-1;4.034585859;-0.949911532;4750000;3562522.26576416;1117647.05882353;17;Wahr;23107;TX;süden;enterprise und other;enterprise;5.3333;4;19000000;3;2;0;0;3679225;730790;14589985
4200000;2374;0.333333333;2800000;4.015111405;0;-1;9.030222811;840000;4200000;933333.333333333;9;Wahr;3413;MA;nordosten;software und technologie;web;2;10;8400000;2;3;0;0;0;7638456;761544
3437500;1318;0.714285714;1375000;-0.131051301;0;-1;0.737897398;229166.666666667;982142.857142857;982142.857142857;7;Wahr;4453;CA;westen;software und technologie;web;7;30;6875000;2;5;0;0;0;4363949;2511051
525000;1406;0.111111111;1050000;-0.984237310;0;-1;-0.968474620;525000;1050000;116666.666666667;9;Falsch;40665;IL;mittlerer_westen;software und technologie;web;1;2;1050000;2;1;0;0;0;32090;1017910
10875000;2499;0.153846154;10875000;-0.721159705;0;-1;-0.442319410;2718750;10875000;1673076.92307692;13;Wahr;2709;NY;nordosten;finanzen;games_video;2;8;21750000;2;2;0;0;0;7786932;13963068
2600000;748;0.333333333;2600000;1.680517617;0;-1;4.361035234;1040000;5200000;866666.666666667;6;Falsch;76543;CA;westen;finanzen;photo_video;1;5;5200000;2;2;0;0;0;4382523;817477
30000000;2680;0.058823529;30000000;-1;0;0;-1;7500000;3333333.33333333;1764705.88235294;17;Wahr;27555;CA;westen;bildung und forschung;biotech;9;4;30000000;1;1;0;0;0;0;30000000
7322244.75;1814;0.066666667;29288979;0.377519538;2.311286937;-0.543178968;0.741970183;3254331;10983229.8346271;1952598.6;15;Wahr;5347;CA;westen;software und technologie;software;2.6667;9;29288979;4;1;0;12502840;3775825;8265436;4744878
1500000;4017;0;0;-1;0;0;-1;375000;1500000;136363.636363636;11;Falsch;1253;WA;westen;software und technologie;web;1;4;1500000;1;0;0;0;0;0;1500000
1750000;914;0.285714286;875000;-1;0;0;-1;218750;350000;250000;7;Wahr;163104;NY;nordosten;finanzen;news;5;8;1750000;1;2;0;0;0;0;1750000
5783333.33333333;891;0.4;8675000;6.959568521;3.576753934;-0.995894148;-0.738061591;937837.837837838;6940000;3470000;10;Wahr;109;CA;westen;enterprise und other;enterprise;5;37;34700000;6;4;8792;133211;29106;7088907;27063259
8000000;2984;0;0;-0.879425857;0;-1;-0.758851714;16000000;16000000;1142857.14285714;14;Falsch;45792;MA;nordosten;software und technologie;software;1;1;16000000;2;0;0;0;0;3108712;12891288
7153554.33333333;1854;0.142857143;10730331.5;-0.526742153;-1;-0.521920107;-0.058306352;21460663;4769036.22222222;1532904.5;14;Wahr;23072;FL;süden;software und technologie;software;4.5;1;21460663;3;2;0;0;4039341;8449092;8972230
1000000;870;0.25;500000;-1;0;0;-1;500000;1000000;125000;8;Falsch;144825;IL;mittlerer_westen;software und technologie;web;1;2;1000000;1;2;0;0;0;0;1000000
62500;1035;0.4;62500;2.841182191;0;-1;6.682364381;13888.888888889;125000;25000;5;Wahr;149809;NH;nordosten;software und technologie;mobile;1;9;125000;2;2;0;0;0;110603;14397
14800000;531;0.181818182;37000000;-0.401242561;-0.719713152;1.071194105;-0.845792773;3894736.84210526;42285714.2857143;6727272.72727273;11;Wahr;1587;CA;westen;software und technologie;network_hosting;1.75;19;74000000;5;2;2012340;4122811;14709256;7101824;46053769
35000000;2262;0.181818182;17500000;-1;0;0;-1;8750000;11666666.6666667;3181818.18181818;11;Falsch;43480;CA;westen;software und technologie;web;3;4;35000000;1;2;0;0;0;0;35000000
3380000;1004;0.222222222;3380000;-0.873500943;0;-1;-0.747001887;1126666.66666667;4506666.66666667;751111.111111111;9;Falsch;42112;CA;westen;software und technologie;web;1.5;6;6760000;2;2;0;0;0;1364940;5395060
4227775.2;1287;0;0;0.406501229;0.329555191;-0.945692181;-0.947259506;5284719;10569438;1626067.38461538;13;Falsch;15687;CA;westen;finanzen;advertising;2;4;21138876;5;0;416822;74487;56024;1031601;19559942
250000;1705;0.2;250000;-1;0;0;-1;125000;250000;50000;5;Falsch;58696;OH;mittlerer_westen;finanzen;ecommerce;1;2;250000;1;1;0;0;0;0;250000
6125000;1728;0.333333333;4900000;7.243232471;28.652730248;-0.830877075;2.151076712;1633333.33333333;5653889.64530496;1633333.33333333;15;Wahr;1107;MD;süden;software und technologie;software;4.3333;15;24500000;4;5;0;18898367;637323;3768401;1195909
1900000;2317;0;0;-1;0;0;-1;0;1900000;135714.285714286;14;Falsch;31452;CO;westen;enterprise und other;other;1;0;1900000;1;0;0;0;0;0;1900000
3675000;2238;0.25;2450000;-0.933360059;0;-1;-0.866720118;918750;7350000;612500;12;Falsch;11397;NY;nordosten;finanzen;games_video;1;8;7350000;2;3;0;0;0;864400;6485600
31000;1551;0.125;31000;-1;0;0;-1;31000;15500;3875;8;Falsch;63621;NY;nordosten;software und technologie;web;2;1;31000;1;1;0;0;0;0;31000
8250000;1744;0.133333333;16500000;-0.810312735;-0.741759739;-0.808152209;-0.691338990;8250000;6187538.6721167;2200000;15;Wahr;4060;IL;mittlerer_westen;software und technologie;software;5.3333;4;33000000;4;2;0;364839;1412789;7364114;23858258
3000000;995;0.5;2000000;1.758627488;0;-1;4.517254976;1200000;1000000;1000000;6;Wahr;83692;MA;nordosten;software und technologie;mobile;6;5;6000000;2;3;0;0;0;5079367;920633
3678333.33333333;2165;0.1;11035000;4.372639963;-1;15.100423253;-0.982503362;3678333.33333333;6620867.58264835;1103500;10;Falsch;1445;MA;nordosten;software und technologie;software;1.6667;3;11035000;3;1;0;0;2392700;148611;8493689
600000;1086;0;0;-1;0;0;-1;150000;300000;120000;5;Falsch;167795;NY;nordosten;software und technologie;web;2;4;600000;1;0;0;0;0;0;600000
10625000;2248;0.1;42500000;1.875025162;10.260402409;-0.861038225;-0.899263535;2361111.11111111;17000000;4250000;10;Wahr;14036;CA;westen;software und technologie;mobile;2.5;18;42500000;4;1;0;5265184;467584;3364839;33402393
12350000;3227;0.3125;4940000;0.059491113;0;-1;1.118982227;4940000;6175000;1543750;16;Wahr;196;CA;westen;software und technologie;web;4;5;24700000;2;5;0;0;0;16780750;7919250
9100000;1952;0.363636364;6825000;2.623336658;-1;9.747282779;-0.877272804;1950000;9100000;2481818.18181818;11;Wahr;815;CO;westen;finanzen;advertising;3;14;27300000;3;4;0;0;14747142;1372174;11180684
2000000;2019;0.222222222;1000000;-1;0;0;-1;400000;666666.666666667;222222.222222222;9;Wahr;25307;NY;nordosten;finanzen;ecommerce;3;5;2000000;1;2;0;0;0;0;2000000
2000000;1807;0.181818182;1000000;-1;0;0;-1;333333.333333333;1000000;181818.181818182;11;Falsch;167;WI;mittlerer_westen;finanzen;advertising;2;6;2000000;1;2;0;0;0;0;2000000
400000;1717;0.25;200000;-1;0;0;-1;133333.333333333;400000;50000;8;Wahr;46129;CA;westen;software und technologie;web;1;3;400000;1;2;0;0;0;0;400000
6750000;2297;0;0;-0.155913978;0;-1;0.688172043;1928571.42857143;5400000;843750;16;Wahr;7376;MA;nordosten;software und technologie;software;2.5;7;13500000;2;0;0;0;0;8478000;5022000
2177500;3730;0.2;1451666.66666667;-0.669845273;0;-1;-0.339690546;544375;2903333.33333333;290333.333333333;15;Wahr;22291;TX;süden;software und technologie;software;1.5;8;4355000;2;3;0;0;0;1731995;2623005
5000000;3651;0.166666667;2500000;-1;0;0;-1;2500000;1666666.66666667;416666.666666667;12;Falsch;281;CA;westen;finanzen;games_video;3;2;5000000;1;2;0;0;0;0;5000000
10500000;1833;0.266666667;10500000;1.314880119;6.445209095;0.780832040;-0.966520657;3000000;18000257.1465307;2800000;15;Wahr;1756;VA;süden;software und technologie;web;2.3333;14;42000000;4;4;0;12129824;1629212;914860;27326104
9166666.66666667;1710;0.2;9166666.66666667;-0.512258839;-1;0.384163434;-0.920939951;1250000;27500000;1833333.33333333;15;Wahr;3949;CA;westen;software und technologie;mobile;1;22;27500000;3;3;0;0;2532100;1829336;23138564
17100000;2465;0;0;-0.159942671;-0.242026321;-0.480568158;1.082823793;11400000;17100000;4275000;16;Wahr;13681;CA;westen;software und technologie;mobile;4;6;68400000;4;0;0;11252474;14845468;28580204;13721854
5500000;3145;0.083333333;11000000;-0.925471302;0;-1;-0.850942603;1571428.57142857;7333333.33333333;916666.666666667;12;Wahr;15122;CA;westen;software und technologie;software;1.5;7;11000000;2;1;0;0;0;1426936;9573064
2600000;881;0.2;2600000;-1;0;0;-1;325000;1300000;520000;5;Wahr;166772;CA;westen;finanzen;ecommerce;2;8;2600000;1;1;0;0;0;0;2600000
1492057;1790;0;0;-0.579075836;-1;-0.731010224;-0.006217283;1492057;2238085.5;263304.176470588;17;Falsch;16488;CA;westen;finanzen;advertising;2;3;4476171;3;0;0;0;529193;1967335;1979643
10000000;3401;0.133333333;5000000;-1;0;0;-1;833333.333333333;1428571.42857143;666666.666666667;15;Wahr;7666;MA;nordosten;software und technologie;mobile;7;12;10000000;1;2;0;0;0;0;10000000
